timestamps, raw distance, filtered distance, raw azimuth, filtered azimuth, Latitude, Longitude, RAW_LAT, RAW_LONG, Sound_LAT, Sound_LONG, currentOrientation, trialState, trialNumber, earconPlayed 
0.00111229,1602.73,32.7089,1.553,0.221857,55.6398,12.524,55.6398,12.524,55.6506,12.5409,0,0,0,0
0.0262808,1602.73,65.4177,1.553,0.443714,55.6398,12.524,55.6398,12.524,55.6506,12.5409,0,0,0,0
0.0551648,1602.73,98.1266,1.553,0.443714,55.6398,12.524,55.6398,12.524,55.6506,12.5409,0,0,0,0
0.0641853,1602.73,130.835,1.553,0.443714,55.6398,12.524,55.6398,12.524,55.6506,12.5409,0,0,0,0
0.0722168,1602.73,163.544,1.553,0.443714,55.6398,12.524,55.6398,12.524,55.6506,12.5409,0,0,0,0
0.0998183,1189.93,187.829,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,0,0,0,0
0.116332,1189.93,212.113,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,0,0,0,0
0.132915,1189.93,236.397,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,0,0,0,0
0.149716,1189.93,260.681,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,0,0,0,0
0.166278,1189.93,284.965,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,226.844,0,0,0
0.183312,1189.93,309.25,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,226.844,0,0,0
0.1997,1189.93,333.534,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,226.844,0,0,0
0.216397,1189.93,357.818,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,226.844,0,0,0
0.232944,1189.93,382.102,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,226.844,0,0,0
0.24967,1189.93,406.386,1.553,0.443714,55.6498,12.5219,55.6498,12.5219,55.6506,12.5409,226.844,0,0,0
