timestamps, raw distance, filtered distance, raw azimuth, filtered azimuth, Latitude, Longitude, RAW_LAT, RAW_LONG, Sound_LAT, Sound_LONG, currentOrientation, trialState, trialNumber, earconPlayed 
0.00105625,1609.53,32.8475,1.553,0.221857,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,0,0,0,0
0.0239086,1609.53,65.695,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,0,0,0,0
0.0417489,1609.53,98.5425,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,0,0,0,0
0.0567534,1609.53,131.39,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,0,0,0,0
0.0699709,1609.53,164.237,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,0,0,0,0
0.0868593,1609.53,197.085,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,0,0,0,0
0.102874,1609.53,229.932,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,0,0,0,0
0.120543,1609.53,262.78,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.136249,1609.53,295.627,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.154359,1609.53,328.475,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.170406,1609.53,361.322,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.186773,1609.53,394.17,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.203042,1609.53,427.017,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.220715,1609.53,459.865,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.236952,1609.53,492.712,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.253158,1609.53,525.56,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.269843,1609.53,558.407,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.287637,1609.53,591.255,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.30372,1609.53,624.102,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.859,0,0,0
0.320121,1609.53,656.95,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.336293,1609.53,689.797,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.357346,1609.53,722.645,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.370798,1609.53,755.492,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.387059,1609.53,788.34,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.404439,1609.53,821.187,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.420559,1609.53,854.035,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.437081,1609.53,886.882,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.453507,1609.53,919.73,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.469343,1609.53,952.577,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.486133,1609.53,985.425,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.503625,1609.53,1018.27,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.578,0,0,0
0.521952,1609.53,1051.12,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.537304,1609.53,1083.97,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.55314,1609.53,1116.81,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.57035,1609.53,1149.66,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.585958,1609.53,1182.51,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.602708,1609.53,1215.36,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.621434,1609.53,1248.2,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.6367,1609.53,1281.05,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.659082,1609.53,1313.9,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.66975,1609.53,1346.75,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.686002,1609.53,1379.59,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.704556,1609.53,1412.44,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.719661,1609.53,1445.29,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,294.312,0,0,0
0.735946,1609.53,1478.14,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
0.754924,1609.53,1510.98,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
0.770915,1609.53,1543.83,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
0.787028,1609.53,1576.68,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
0.805794,1609.53,1609.53,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
0.820851,1609.53,1609.53,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
0.836564,1609.53,1609.53,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
0.854873,1609.53,1609.53,1.553,0.443714,55.6397,12.5239,55.6397,12.5239,55.6506,12.5409,293.953,0,0,0
