timestamps, raw distance, filtered distance, raw azimuth, filtered azimuth, Latitude, Longitude, RAW_LAT, RAW_LONG, Sound_LAT, Sound_LONG, currentOrientation, trialState, trialNumber, earconPlayed 
0.00077776,1186.21,24.2083,1.551,0.221571,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,0,0,0,0
0.0240917,1186.21,48.4167,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,0,0,0,0
0.0380805,1186.21,72.625,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,0,0,0,0
0.0560095,1186.21,96.8333,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,0,0,0,0
0.0676523,1186.21,121.042,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,0,0,0,0
0.0840331,1186.21,145.25,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,0,0,0,0
0.100619,1186.21,169.458,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.117387,1186.21,193.667,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.133964,1186.21,217.875,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.151047,1186.21,242.083,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.167879,1186.21,266.292,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.184227,1186.21,290.5,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.201015,1186.21,314.708,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.217709,1186.21,338.917,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.234277,1186.21,363.125,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.252293,1186.21,387.333,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.271654,1186.21,411.542,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.283875,1186.21,435.75,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.300604,1186.21,459.958,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,52,0,0,0
0.317265,1186.21,484.167,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.333845,1186.21,508.375,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.35045,1186.21,532.583,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.367697,1186.21,556.792,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.384214,1186.21,581,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.400874,1186.21,605.208,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.417778,1186.21,629.417,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.434194,1186.21,653.625,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.450893,1186.21,677.833,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.467672,1186.21,702.042,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.484197,1186.21,726.25,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,20.75,0,0,0
0.501066,1186.21,750.458,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
0.517726,1186.21,774.667,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
0.5342,1186.21,798.875,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
0.551019,1186.21,823.083,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
0.57091,1186.21,847.292,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
0.583943,1186.21,871.5,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
0.600776,1186.21,895.708,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
0.617566,1186.21,919.917,1.551,0.443143,55.6436,12.5265,55.6436,12.5265,55.6506,12.5409,11.3906,0,0,0
