timestamps, raw distance, filtered distance, raw azimuth, filtered azimuth, Latitude, Longitude, RAW_LAT, RAW_LONG, Sound_LAT, Sound_LONG, currentOrientation, trialState, trialNumber, earconPlayed 
0.00100667,1567.77,31.9952,1.554,0.222,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.0298537,1567.77,63.9905,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.0515033,1567.77,95.9857,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.0659101,1567.77,127.981,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.0781235,1567.77,159.976,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.0948751,1567.77,191.971,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.112422,1567.77,223.967,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.128608,1567.77,255.962,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,0,0,0,0
0.145042,1567.77,287.957,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.162539,1567.77,319.952,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.178353,1567.77,351.948,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.195794,1567.77,383.943,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.212817,1567.77,415.938,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.229557,1567.77,447.933,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.245743,1567.77,479.929,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.262756,1567.77,511.924,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.279012,1567.77,543.919,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.295752,1567.77,575.914,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.315299,1567.77,607.91,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.331409,1567.77,639.905,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,282.078,0,0,0
0.345151,1567.77,671.9,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.362169,1567.77,703.895,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.378452,1567.77,735.891,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.395064,1567.77,767.886,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.412857,1567.77,799.881,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.428851,1567.77,831.876,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.448487,1567.77,863.872,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.462152,1567.77,895.867,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.478354,1567.77,927.862,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.494964,1567.77,959.857,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.512073,1567.77,991.853,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.528485,1567.77,1023.85,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,322.094,0,0,0
0.546405,1567.77,1055.84,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.562561,1567.77,1087.84,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.578819,1567.77,1119.83,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.595562,1567.77,1151.83,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.612219,1567.77,1183.82,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.629069,1567.77,1215.82,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.645427,1567.77,1247.81,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.662605,1567.77,1279.81,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.679913,1567.77,1311.81,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.695009,1567.77,1343.8,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.7127,1567.77,1375.8,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.728602,1567.77,1407.79,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.745016,1567.77,1439.79,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,350.078,0,0,0
0.763311,1567.77,1471.78,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,358.844,0,0,0
0.783604,1567.77,1503.78,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,358.844,0,0,0
0.795906,1567.77,1535.77,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,358.844,0,0,0
0.813432,1567.77,1567.77,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,358.844,0,0,0
0.829753,1567.77,1567.77,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,358.844,0,0,0
0.846765,1567.77,1567.77,1.554,0.444,55.6398,12.5248,55.6398,12.5248,55.6506,12.5409,358.844,0,0,0
